open,close,low,high,vol00,sdate
575.152,591.154,569.575,634.786,4280.89,210802
591.371,628.668,586.09,662.633,4168.31,210803
629.675,671.408,578.074,676.136,4197.29,210804
671.02,639.318,601.827,729.84,11921.56,210805
639.337,638.947,602.802,723.995,5418.4,210806
639.121,663.47,622.598,705.18,6767.93,210807
662.556,682.114,649.072,793.716,10140.46,210808
682.351,671.164,639.234,699.123,4846.31,210809
671.598,678.83,659.675,707.412,2876.6,210810
678.986,713.195,611.922,724.42,6784.72,210811
713.204,688.525,676.331,728.433,2770.1,210812
688.427,718.201,678.599,737.498,5154.52,210813
718.19,764.255,708.922,766.876,5744.05,210814
763.75,837.906,670.821,840.32,7719.25,210815
838.615,945.951,797.649,975.947,16355.63,210816
946.449,837.865,796.499,953.914,10366.52,210817
838.479,889.661,800.447,896.471,4472.82,210818
894.846,889.679,833.478,930.579,4752.3,210819
889.313,936.353,856.451,956.777,5753.36,210820
937.39,934.545,924.259,970.138,5709.31,210821
934.503,878.857,828.012,941.006,8103.39,210822
879.141,840.569,836.673,879.724,3995.34,210823
841.842,786.194,758.828,849.237,4718.93,210824
785.275,816.743,779.159,954.317,24009.8,210825
822.577,836.284,785.568,850.394,4404.51,210826
837.721,832.873,794.854,861.302,4385.68,210827
833.391,835.123,797.841,855.021,2935.71,210828
835.207,884.354,813.546,885.16,2081.79,210829
891.156,870.141,839.968,922.331,2826.41,210830
870.348,869.721,865.479,911.28,1687.38,210831
869.532,849.854,837.25,870.036,1563.15,210901
848.301,904.277,830.328,991.697,2136.17,210902
904.382,893.977,878.423,1005.953,2591.35,210903
893.792,900.067,868.045,930.159,3321.64,210904
900.133,879.494,856.052,916.936,5141.59,210905
885.719,987.928,876.169,1019.424,5277.32,210906
987.892,927.215,864.141,1061.239,8251.49,210907
926.439,918.456,834.208,926.439,3301.22,210908
892.589,913.862,889.361,977.82,2780.93,210909
913.953,855.479,821.429,917.586,2265.4,210910
855.495,865.881,834.461,887.408,1036.56,210911
865.821,864.683,832.573,891.39,1713.09,210912
864.687,896.231,839.028,1372.064,145282.87,210913
895.711,932.858,835.484,943.747,35247.34,210914
928.45,900.485,860.539,1035.676,25690.06,210915
902.787,868.621,843.27,933.797,14891.55,210916
873.858,889.197,839.124,920.83,11707.09,210917
889.767,885.36,841.192,913.513,4600.52,210918
885.314,878.114,867.989,897.549,6452.16,210919
878.18,880.548,835.336,956.696,43324,210920
890.261,861.507,848.28,894.898,12054.79,210921
861.492,841.758,812.083,870.063,10831.33,210922
843.982,836.133,810.998,849.844,15008.2,210923
836.83,741.25,711.223,839.636,13984.75,210924
741.251,548.522,534.393,744.301,46292.93,210925
545.114,504.147,470.788,567.594,57611.76,210926
503.672,476.644,472.632,519.004,29113.05,210927
