open,close,low,high,vol00,sdate
30067,30231,29928,30327,19074.42,070104
30255,30059,29989,30255,17138.85,070105
30113,30094,29909,30158,18043.3,070108
30265,30059,30024,30265,10476.97,070109
30059,30113,29909,30167,5898.62,070110
30094,30444,30067,30444,34464.82,070111
30471,30585,30407,30632,14493.81,070112
30658,30658,30532,30676,7296.23,070116
30694,30834,30595,30944,31680.8,070117
30891,30926,30798,31006,28706.3,070118
30919,30935,30891,31041,17051.39,070119
30988,30746,30694,31158,56918.33,070122
30694,30585,30505,30763,22743.84,070123
30651,30815,30566,30853,39094.74,070124
30825,30712,30668,30825,36024.94,070125
30557,30540,30390,30651,29058.19,070126
30557,30497,30453,30604,22051.17,070129
30642,30651,30540,30676,13310.3,070130
30676,30791,30595,30844,18895.07,070131
30919,31050,30881,31075,29456.1,070201
31112,30988,30926,31140,13422.35,070202
30988,30979,30853,31032,35109.27,070205
30988,30891,30807,30997,24837.4,070206
30900,30935,30844,30979,17626.39,070207
30900,30910,30067,30979,15083.33,070208
30988,30815,30738,30988,29428.08,070209
30782,30686,30651,30798,15926.4,070212
30694,30798,30694,30815,14514.39,070213
30791,30969,30791,30997,22676.65,070214
31006,31112,30944,31131,12710.65,070215
30919,30988,30919,31023,14506.15,070216
30926,31006,30926,31050,8282.48,070220
30926,30863,30825,30944,10936.49,070221
30910,30815,30728,30919,15407.24,070222
30791,30686,30604,30791,10064.54,070223
30755,30807,30694,30834,21086.28,070226
30576,29871,29585,30642,34272.06,070227
29936,30050,29936,30317,26115.08,070228
29826,29944,29542,30086,26972.81,070301
29890,29677,29677,30041,28681.67,070302
29533,29526,29425,29845,19559.67,070305
29703,29836,29444,29928,32474.35,070306
29756,29845,29703,29980,13178.04,070307
29963,29944,29890,30299,13012.15,070308
30113,30005,29928,30158,12858.6,070309
30041,30005,29871,30094,27388.29,070312
29936,29516,29516,30024,37898.88,070313
29613,29631,29346,29686,38372.95,070314
29595,29703,29542,29712,15489.05,070315
29677,29622,29480,29686,9629.66,070316
29650,29853,29578,29853,8769.64,070319
29729,30005,29729,30024,23412.14,070320
29980,30308,29871,30364,21172.47,070321
30345,30416,30247,30426,18683.25,070322
30336,30265,29801,30632,16670.99,070323
30355,30308,30094,30355,10776.25,070326
30247,30094,30041,30247,33321.64,070327
30067,29890,29890,30113,30973.54,070328
29972,30033,29853,30067,30351.94,070329
30024,30024,29766,30222,34450.8,070330
30158,30186,30086,30239,13323.73,070402
30336,30497,30273,30576,11011.39,070403
30514,30676,30426,30694,10340.12,070404
30658,30891,30658,30919,12355.12,070405
30891,30900,30798,30910,14656.05,070409
30825,30944,30782,30952,15941.28,070410
30919,30807,30721,30935,27430.98,070411
30763,31158,30668,31203,12019.55,070412
31389,31613,31371,31629,29887.35,070413
31703,31915,31665,31915,35918.48,070416
32067,32014,32006,32119,31930.11,070417
31979,32006,31758,32014,24364.36,070418
31924,32137,31852,32202,34736.98,070419
32256,32262,32156,32323,27981.76,070420
32360,32301,32211,32369,15689.46,070423
32323,32301,32174,32378,11556.62,070424
32323,32397,31898,32460,22361.37,070425
32415,32435,32378,32573,12657.3,070426
32406,32323,32262,32426,9444.94,070427
